29% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
29% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 3: {:des_p_types=>3, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
30% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 3: {:des_p_types=>1, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
30% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 3: {:des_p_types=>1, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 3: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
31% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>5, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
31% - 3: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>3, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>1, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
32% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>3, :des_partnerships=>3, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>3, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
32% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>3, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>3, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
32% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>5}
32% - 3: {:des_p_types=>5, :des_partnerships=>1, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>5, :des_partnerships=>5, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
32% - 3: {:des_p_types=>1, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
33% - 3: {:des_p_types=>1, :des_partnerships=>5, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
33% - 3: {:des_p_types=>5, :des_partnerships=>3, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
33% - 3: {:des_p_types=>5, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>3}
33% - 3: {:des_p_types=>5, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 3: {:des_p_types=>1, :des_partnerships=>3, :click_count=>5, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 3: {:des_p_types=>5, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 3: {:des_p_types=>3, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 3: {:des_p_types=>1, :des_partnerships=>1, :click_count=>3, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
34% - 3: {:des_p_types=>3, :des_partnerships=>1, :click_count=>1, :customer_interests=>1, :des_partner_competitor=>5, :acq_partner_competitor=>1}
